Ticker,Start,End,TradingDays,TotalBars,MeanBars/Day,MedianBars/Day,MissingBarsRatio(est)
AAPL,2024-01-02 14:30:00,2025-06-30 20:55:00,374,29218,78.12299465240642,78.0,-0.0015768545180310234
AMZN,2024-01-02 14:30:00,2025-06-30 20:55:00,374,29223,78.13636363636364,78.0,-0.0017482517482516613
MSFT,2024-01-02 14:30:00,2025-06-30 20:55:00,374,29216,78.11764705882354,78.0,-0.0015082956259426794
SPY,2024-01-02 14:30:00,2025-06-30 20:55:00,374,29337,78.44117647058823,78.0,-0.005656108597285048
TSLA,2024-01-02 14:30:00,2025-06-30 20:55:00,374,29234,78.16577540106952,78.0,-0.002125325654737331
