,Sharpe,Sortino,MaxDD,PSR,DSR,p_boot
Single 5bps,0.9880695705958645,1.3541232147102653,0.04877694876074271,0.7524550885398867,0.4103927254810433,0.278
Single 3bps,1.8645943436643853,2.5836471833141967,0.03246462444745633,0.9021799457567984,0.6482609133035606,0.092
MARL MCP OFF 5bps,0.9981393523281816,1.3703525358253723,0.04732756197955678,0.7546341389158262,0.41310375108585135,0.277
MARL MCP ON 5bps,-0.436027974315123,-0.6064875933248324,0.1487284924669924,0.3821223690648456,0.11406350312217406,0.627
