Strategy,CumReturn,AnnVol,Sharpe,Sortino,MaxDD,PSR,DSR,p_boot,TurnoverCum,CostCum
EW,0.05543740680518816,0.25112378245584105,0.5784968599268071,0.787800147140516,0.13547805861806037,0.6552755950812964,0.4217361855481793,0.358,1.0,0.0005
InvVol,0.08520708107356101,0.20963861505666706,0.9320206657151856,1.2601299604542318,0.09919949425178204,0.7407212155022969,0.5186935473995331,0.271,0.930008026957512,0.00046500401347875596
MinVar,0.05543740680518816,0.25112378245584105,0.5784968599268071,0.787800147140516,0.13547805861806037,0.6552755950812964,0.4217361855481793,0.358,1.0,0.0005
Single-Agent PPO (5bps),0.04217895432248131,0.09252258175502484,0.988,1.354,0.049,,,,0.42884299999992426,0.00021442149999996213
MARL+MCP (5bps),-0.040404833415282004,0.1673977171239609,-0.436,-0.606,0.149,,,,0.20786699999998864,0.00010393349999999433
"MARL (no MCP, 5bps)",0.04154876473131819,0.0900885037875499,0.998,1.37,0.047,,,,0.006920999999999955,3.4604999999999777e-06
