,AAPL,AMZN,MSFT,SPY,TSLA
AAPL,1.0,0.0,0.49915709118643886,0.38916180802161027,0.37955935852718153
AMZN,0.0,0.0,0.0,0.0,0.0
MSFT,0.49915709118643886,0.0,1.0,0.5281299845905589,0.45555123769795225
SPY,0.38916180802161027,0.0,0.5281299845905589,1.0,0.5004132314390701
TSLA,0.37955935852718153,0.0,0.45555123769795225,0.5004132314390701,1.0
